model,mhs,power,price,epp,roi
RX 6800 XT,63.2,104,1000.0,0.6076923076923078,390.8071123527656
RX 6800,61.01,108,900.0,0.6276748971193415,368.26149520834673
RTX 3070,62.34,115,830.0,0.6531168150864326,334.51955475498346
RTX 3060 Ti,62.42,125,800.0,0.6242,326.48059231684584
RX 6700 XT,46.95,98,740.0,0.647407611693326,404.5139191879045
RX 6600 XT,31.88,68,550.0,0.8524064171122995,444.57079715649
VII,108.5,236,1400.0,0.32838983050847453,333.75167472019496
RX 5700 XT,56.44,125,750.0,0.6020266666666666,344.9350389762745
RTX 3080,101.58,224,1400.0,0.3239158163265306,357.4460240131068
RX 6900 XT,56.44,125,1200.0,0.37626666666666664,551.8960623620392
